iter	Passed	Remaining
871	39124	5743
872	39173	5698
873	39221	5654
874	39272	5610
875	39327	5566
876	39376	5522
877	39427	5478
878	39474	5433
879	39524	5389
880	39572	5345
881	39621	5300
882	39668	5256
883	39714	5211
884	39761	5166
885	39806	5121
886	39848	5076
887	39891	5031
888	39933	4986
889	39980	4941
890	40023	4896
891	40071	4851
892	40118	4807
893	40173	4763
894	40220	4718
895	40267	4673
896	40313	4629
897	40360	4584
898	40404	4539
899	40451	4494
900	40496	4449
901	40545	4405
902	40591	4360
903	40641	4315
904	40688	4271
905	40742	4227
906	40797	4183
907	40843	4138
908	40891	4093
909	40940	4049
910	40990	4004
911	41042	3960
912	41091	3915
913	41141	3871
914	41191	3826
915	41242	3782
916	41290	3737
917	41339	3692
918	41383	3647
919	41429	3602
920	41471	3557
921	41518	3512
922	41563	3467
923	41607	3422
924	41648	3376
925	41693	3331
926	41736	3286
927	41781	3241
928	41828	3196
929	41872	3151
930	41917	3106
931	41964	3061
932	42023	3017
933	42072	2973
934	42116	2927
935	42165	2883
936	42210	2838
937	42284	2794
938	42332	2750
939	42380	2705
940	42425	2660
941	42467	2614
942	42510	2569
943	42567	2525
944	42610	2479
945	42664	2435
946	42713	2390
947	42762	2345
948	42814	2300
949	42862	2255
950	42913	2211
951	42962	2166
952	43009	2121
953	43058	2076
954	43105	2031
955	43154	1986
956	43201	1941
957	43250	1896
958	43297	1851
959	43342	1805
960	43389	1760
961	43433	1715
962	43476	1670
963	43522	1625
964	43568	1580
965	43614	1535
966	43659	1489
967	43710	1444
968	43754	1399
969	43803	1354
970	43846	1309
971	43893	1264
972	43944	1219
973	44013	1174
974	44059	1129
975	44107	1084
976	44154	1039
977	44202	994
978	44248	949
979	44293	903
980	44339	858
981	44388	813
982	44433	768
983	44480	723
984	44526	678
985	44572	632
986	44617	587
987	44669	542
988	44715	497
989	44766	452
990	44809	406
991	44855	361
992	44900	316
993	44946	271
994	44991	226
995	45032	180
996	45073	135
997	45119	90
998	45165	45
999	45215	0
