('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         847923 function calls (823694 primitive calls) in 8.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      499    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      257    0.000    0.000    0.132    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.165    0.165 __init__.py:209(__init__)
      334    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      190    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      138    0.000    0.000    0.001    0.000 typing_extensions.py:3474(_collect_parameters)
       62    0.000    0.000    0.002    0.000 typing.py:687(Union)
      358    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      488    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       42    0.000    0.000    1.316    0.031 response.py:1151(_handle_chunk)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       27    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    8.175    8.175 financial.py:1(<module>)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      138    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
     1299    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1299    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.024    0.024 packages.py:1(<module>)
       64    0.000    0.000    1.316    0.021 client.py:633(_safe_read)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      128    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
  166/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       42    0.000    0.000    0.007    0.000 response.py:469(_decode)
       68    0.000    0.000    0.015    0.000 element.py:1079(_find_all)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      499    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       20    0.000    0.000    0.010    0.000 <frozen zipimport>:64(__init__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      165    0.000    0.000    0.084    0.001 <frozen importlib._bootstrap_external>:1202(path_stats)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      217    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.185    0.185 connection.py:27(create_connection)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      197    0.000    0.000    0.265    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      339    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       54    0.000    0.000    0.709    0.013 {method 'readline' of '_io.BufferedReader' objects}
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      237    0.000    0.000    0.123    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      100    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
